Point ID,vtkOriginalPointIds,Points_0,Points_1,Points_2,Points_Magnitude
551,48674,19.0228,-25.936,229.596,231.838
552,48675,18.7145,-25.233,229.508,231.648
553,48676,18.5222,-26.0654,230.541,232.748
554,48677,18.1396,-24.8944,230.15,232.202
555,48682,17.2716,-23.1479,229.654,231.463
556,48683,17.7094,-23.966,229.898,231.821
557,48684,17.0293,-23.7971,230.703,232.551
558,48685,16.3442,-22.8669,230.621,232.327
559,48686,18.4115,-24.2985,229.101,231.121
560,48694,15.8373,-21.0196,228.957,230.465
561,48695,15.7222,-21.4661,229.732,231.267
562,48696,15.0646,-20.4759,229.199,230.605
563,48697,15.6583,-22.1621,230.666,232.257
564,48698,14.9645,-21.3096,230.447,231.913
565,48699,14.5388,-20.6471,230.07,231.452
566,48700,16.4573,-22.2494,229.753,231.413
567,48710,12.0432,-18.6575,229.621,230.692
568,48711,11.1561,-18.1075,229.481,230.465
569,48712,11.0551,-18.7358,230.524,231.548
570,48713,11.8996,-19.3415,230.736,231.851
571,48714,9.89689,-18.3941,230.811,231.754
572,48715,10.4419,-18.2134,230.186,231.141
573,48716,13.1674,-19.1571,229.349,230.524
